-1 13-0-0-0 12-1-0-0 11-2-0-0 10-3-0-0 9-4-0-0 8-5-0-0 7-6-0-0 11-1-1-0 10-2-1-0 9-3-1-0 8-4-1-0 7-5-1-0 6-6-1-0 9-2-2-0 8-3-2-0 7-4-2-0 6-5-2-0 7-3-3-0 6-4-3-0 5-5-3-0 5-4-4-0 10-1-1-1 9-2-1-1 8-3-1-1 7-4-1-1 6-5-1-1 8-2-2-1 7-3-2-1 6-4-2-1 5-5-2-1 6-3-3-1 5-4-3-1 4-4-4-1 7-2-2-2 6-3-2-2 5-4-2-2 5-3-3-2 4-4-3-2 4-3-3-3
0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 2 7 17 3 41 30 52 0 0 3 5 13 2 51 108 110 100 477 111 8 176 409 627 911 478
1 0 0 0 0 0 0 0 0 0 0 3 7 1 0 2 19 51 16 92 55 89 0 0 4 16 44 11 121 317 240 238 944 241 38 450 845 1320 1826 900
2 0 0 0 0 0 0 0 0 0 0 2 10 10 0 6 36 69 31 149 119 146 0 0 11 40 70 14 170 567 368 412 1759 417 55 736 1445 2229 3013 1554
3 0 0 0 0 0 0 0 0 0 1 5 19 15 1 28 74 141 63 286 213 276 0 6 26 76 135 42 402 1093 709 811 3131 768 122 1370 2694 3927 5625 2668
4 0 0 0 0 1 2 3 0 0 0 20 42 23 3 20 113 208 89 474 339 442 0 8 36 124 232 54 655 1699 1129 1224 4875 1158 184 2177 3953 6159 8615 4344
5 0 0 0 0 1 0 3 0 0 3 19 50 43 5 51 174 334 114 681 432 677 0 8 62 192 321 88 928 2306 1572 1742 6698 1520 260 2871 5533 8292 11504 5684
6 0 0 0 0 0 2 8 0 0 9 28 64 49 8 70 216 389 160 895 573 807 3 10 71 253 468 138 1178 3051 2095 2299 8506 1996 342 3658 6988 10251 14166 6711
7 0 0 0 0 2 3 5 0 1 10 48 89 51 5 116 269 529 209 1086 754 964 1 19 105 338 564 143 1515 3812 2546 2747 10269 2384 410 4611 8494 12201 17004 8388
8 0 0 0 0 1 3 1 0 0 8 51 118 81 12 101 336 627 250 1217 831 1137 1 21 107 371 663 180 1744 4280 2809 3125 11399 2654 441 5173 9473 13677 19075 9207
9 0 0 0 0 1 2 9 0 0 9 40 107 93 7 122 333 647 269 1247 890 1178 0 25 120 426 645 204 1885 4524 3026 3349 12281 2770 502 5340 9950 14286 19647 9593
10 0 0 0 1 0 5 9 1 0 12 51 123 70 4 115 388 631 272 1292 879 1250 4 18 125 436 701 233 1974 4592 3062 3278 12194 2813 534 5405 9996 14415 19765 9668
11 0 0 0 0 1 3 10 0 1 12 50 115 70 9 116 336 582 263 1254 814 1129 0 16 126 394 699 224 1725 4408 2824 3240 11753 2589 492 5208 9475 13600 18948 9218
12 0 0 0 0 2 3 3 0 0 14 40 103 77 12 98 299 575 219 1096 781 1059 0 27 106 320 564 157 1521 3873 2524 2825 10422 2422 440 4711 8440 12272 16755 8376
13 0 0 0 0 0 4 6 0 1 8 25 76 56 8 65 278 457 193 1000 631 802 2 12 96 291 501 141 1338 3362 2244 2439 8868 2093 325 4015 7361 10742 14609 7188
14 0 0 0 0 0 1 2 0 0 8 20 59 51 6 69 209 340 142 772 539 696 0 13 75 236 433 108 1078 2744 1850 2019 7463 1745 280 3250 6209 8765 12177 5994
15 0 0 0 0 0 0 2 0 1 3 10 42 34 0 55 171 271 113 552 417 542 0 4 37 161 300 88 820 2040 1372 1470 5708 1283 219 2457 4579 6920 9593 4681
16 0 0 0 0 0 0 3 0 0 2 9 48 18 3 28 114 181 80 390 291 446 0 2 40 135 224 46 583 1512 1014 1094 4320 945 147 1777 3482 5140 7284 3472
17 0 0 0 0 1 1 1 0 1 2 4 16 17 2 22 94 137 50 274 173 270 0 4 23 84 136 42 391 1042 736 794 3105 705 108 1314 2488 3775 5256 2588
18 0 0 0 0 0 1 0 0 0 0 4 10 4 0 13 42 95 42 193 142 181 0 0 12 48 84 15 262 643 488 508 2071 466 70 846 1747 2504 3655 1757
19 0 0 0 0 0 0 0 0 0 1 3 4 6 0 8 24 41 19 113 57 111 0 1 11 26 59 18 146 445 278 344 1290 289 38 558 1127 1742 2348 1195
20 0 0 0 0 0 0 0 0 0 0 0 2 1 0 4 18 29 6 58 50 81 0 0 5 15 27 7 79 252 189 210 914 194 29 315 726 1034 1508 763
21 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 8 10 5 26 25 32 0 1 0 11 13 5 50 169 108 104 433 106 11 219 429 605 881 461
22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 5 3 17 13 23 0 0 1 4 6 6 25 61 53 51 254 70 6 122 249 361 539 278
23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 6 5 6 0 0 0 2 5 0 16 34 26 32 129 35 1 46 111 185 268 124
24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 5 0 0 0 0 2 0 4 11 16 7 61 15 2 26 57 99 154 64
25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 1 0 0 0 0 0 0 3 3 3 6 29 6 0 11 39 47 65 35
26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 4 12 3 0 7 12 12 37 17
27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 7 1 0 2 6 10 15 11
28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 2 2 8 3
29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 3
30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
